indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
221,15,al 6 años y 1 días,1509,260,"[1, 2, 3, 4, 5, 6]",781,427,61,54.7,14.3,189.51
220,15,al 6 años y 1 días,1509,260,"[1, 2, 3, 4, 5]",766,413,58,53.9,14.0,172.22
216,15,al 6 años y 1 días,1509,240,"[1, 2, 3, 4]",797,447,54,56.1,12.1,177.54
213,15,al 6 años y 1 días,1509,220,"[1, 2, 3, 4]",830,491,53,59.2,10.8,180.27
224,15,al 6 años y 1 días,1509,280,"[1, 2, 3, 4, 5, 6]",787,389,53,49.4,13.6,200.25
219,15,al 6 años y 1 días,1509,260,"[1, 2, 3, 4]",752,393,52,52.3,13.2,166.56
226,15,al 6 años y 1 días,1509,300,"[1, 2, 3, 4, 5]",768,336,46,43.8,13.7,179.12
223,15,al 6 años y 1 días,1509,280,"[1, 2, 3, 4, 5]",755,366,45,48.5,12.3,180.72
222,15,al 6 años y 1 días,1509,280,"[1, 2, 3, 4]",748,357,41,47.7,11.5,162.31
230,15,al 6 años y 1 días,1509,340,"[1, 2, 3, 4, 5, 6]",814,284,38,34.9,13.4,192.65
227,15,al 6 años y 1 días,1509,300,"[1, 2, 3, 4, 5, 6]",801,341,37,42.6,10.9,196.83
228,15,al 6 años y 1 días,1509,340,"[1, 2, 3, 4]",792,263,37,33.2,14.1,175.22
233,15,al 6 años y 1 días,1509,380,"[1, 2, 3, 4, 5, 6]",924,241,35,26.1,14.5,214.63
225,15,al 6 años y 1 días,1509,300,"[1, 2, 3, 4]",743,324,33,43.6,10.2,167.68
236,15,al 6 años y 1 días,1509,400,"[1, 2, 3, 4, 5, 6]",1010,207,32,20.5,15.5,227.75
229,15,al 6 años y 1 días,1509,340,"[1, 2, 3, 4, 5]",801,273,31,34.1,11.4,179.36
231,15,al 6 años y 1 días,1509,380,"[1, 2, 3, 4]",852,215,29,25.2,13.5,183.87
232,15,al 6 años y 1 días,1509,380,"[1, 2, 3, 4, 5]",899,231,29,25.7,12.6,203.48
234,15,al 6 años y 1 días,1509,400,"[1, 2, 3, 4]",935,191,23,20.4,12.0,204.52
235,15,al 6 años y 1 días,1509,400,"[1, 2, 3, 4, 5]",941,200,21,21.3,10.5,211.35
238,15,al 6 años y 1 días,1509,450,"[1, 2, 3, 4, 5]",1147,150,19,13.1,12.7,233.7
239,15,al 6 años y 1 días,1509,450,"[1, 2, 3, 4, 5, 6]",1195,154,16,12.9,10.4,238.25
237,15,al 6 años y 1 días,1509,450,"[1, 2, 3, 4]",1146,153,14,13.4,9.2,227.2
241,15,al 6 años y 1 días,1509,500,"[1, 2, 3, 4, 5]",1357,113,13,8.3,11.5,255.86
242,15,al 6 años y 1 días,1509,500,"[1, 2, 3, 4, 5, 6]",1335,117,12,8.8,10.3,259.61
240,15,al 6 años y 1 días,1509,500,"[1, 2, 3, 4]",1315,106,10,8.1,9.4,243.63
32,15,af 7 meses y 11 días,152,40,[1],180,180,12,100.0,6.7,22.52
33,15,af 7 meses y 11 días,152,40,"[1, 2]",216,216,11,100.0,5.1,27.5
31,15,af 7 meses y 11 días,152,20,"[1, 2]",471,471,10,100.0,2.1,58.89
36,15,af 7 meses y 11 días,152,80,"[1, 2, 3]",92,87,10,94.6,11.5,13.42
38,15,af 7 meses y 11 días,152,90,"[1, 2, 3]",83,75,10,90.4,13.3,11.48
30,15,af 7 meses y 11 días,152,20,[1],420,420,9,100.0,2.1,51.72
37,15,af 7 meses y 11 días,152,90,"[1, 2]",87,80,9,92.0,11.2,11.17
39,15,af 7 meses y 11 días,152,100,"[1, 2, 3]",78,73,9,93.6,12.3,10.98
34,15,af 7 meses y 11 días,152,40,"[1, 2, 3]",237,237,7,100.0,3.0,31.98
41,15,af 7 meses y 11 días,152,140,"[1, 2, 3]",60,54,7,90.0,13.0,9.2
35,15,af 7 meses y 11 días,152,80,"[1, 2]",86,80,6,93.0,7.5,11.7
40,15,af 7 meses y 11 días,152,120,"[1, 2, 3]",65,55,6,84.6,10.9,9.59
