,0
0,0.857
1,0.903
2,0.876
3,0.895
4,0.558
5,0.194
6,0.103
7,0.269
8,0.328
9,0.253
10,0.347
11,0.143
12,0.0
13,0.181
14,0.354
15,0.488
16,0.503
17,0.737
18,0.802
19,1.0
20,0.931
