,0
0,0.877
1,1.0
2,0.729
3,0.623
4,0.338
5,0.15
6,0.053
7,0.15
8,0.278
9,0.262
10,0.433
11,0.245
12,0.051
13,0.0
14,0.132
15,0.25
16,0.315
17,0.361
18,0.572
19,0.558
20,0.373
21,0.398
