,0
0,1.0
1,0.768
2,0.39
3,0.72
4,0.659
5,0.354
6,0.22
7,0.305
8,0.524
9,0.829
10,0.878
11,0.524
12,0.439
13,0.341
14,0.061
15,0.0
16,0.354
17,0.573
18,0.573
19,0.793
20,0.524
