,0
0,1.0
1,0.731
2,0.775
3,0.878
4,0.731
5,0.684
6,0.811
7,0.92
8,0.679
9,0.523
10,0.185
11,0.241
12,0.107
13,0.0
14,0.243
15,0.236
16,0.519
17,0.312
18,0.281
19,0.171
20,0.281
21,0.002
22,0.143
23,0.39
24,0.588
25,0.53
