,0
0,0.923
1,1.0
2,0.72
3,0.722
4,0.349
5,0.42
6,0.526
7,0.439
8,0.47
9,0.526
10,0.52
11,0.47
12,0.457
13,0.336
14,0.224
15,0.0
16,0.301
17,0.282
18,0.468
19,0.561
20,0.678
21,0.492
22,0.608
23,0.515
24,0.661
25,0.422
26,0.569
27,0.778
28,0.726
29,0.635
30,0.662
31,0.605
32,0.618
33,0.568
