,0
0,0.825
1,0.732
2,0.636
3,0.621
4,1.0
5,0.521
6,0.463
7,0.298
8,0.375
9,0.601
10,0.125
11,0.0
12,0.21
13,0.839
14,0.65
15,0.44
16,0.185
17,0.586
18,0.712
19,0.588
20,0.774
21,0.99
