,0
0,0.836
1,1.0
2,0.896
3,0.848
4,0.766
5,0.602
6,0.491
7,0.743
8,0.796
9,0.472
10,0.528
11,0.58
12,0.822
13,0.431
14,0.234
15,0.0
16,0.063
17,0.651
18,0.799
19,0.494
20,0.379
21,0.717
22,0.803
23,0.944
24,0.836
