,0
0,0.731
1,0.889
2,0.966
3,1.0
4,0.74
5,0.604
6,0.69
7,0.702
8,0.706
9,0.715
10,0.773
11,0.514
12,0.437
13,0.0
14,0.078
15,0.181
16,0.327
17,0.201
18,0.312
19,0.241
20,0.305
21,0.354
22,0.361
23,0.526
24,0.57
25,0.693
26,0.724
27,0.697
28,0.65
29,0.662
30,0.784
31,0.733
32,0.74
33,0.88
34,0.844
35,0.768
36,0.597
37,0.617
38,0.799
39,0.793
40,0.926
41,0.971
42,0.946
43,0.828
44,0.795
