,0
0,0.591
1,0.475
2,0.409
3,0.518
4,0.81
5,0.638
6,0.745
7,0.38
8,0.209
9,0.265
10,0.402
11,0.0
12,0.076
13,0.063
14,0.341
15,0.292
16,0.534
17,0.376
18,0.293
19,0.515
20,0.677
21,0.724
22,1.0
