,0
0,0.213
1,0.232
2,0.228
3,0.242
4,0.28
5,0.285
6,0.299
7,0.311
8,0.32
9,0.267
10,0.141
11,0.041
12,0.0
13,0.01
14,0.037
15,0.094
16,0.12
17,0.172
18,0.267
19,0.389
20,0.49
21,0.528
22,0.555
23,0.59
24,0.605
25,0.595
26,0.627
27,0.656
28,0.699
29,0.697
30,0.668
31,0.771
32,0.887
33,0.995
34,0.942
35,0.91
36,0.903
37,0.939
38,0.98
39,1.0
