,0
0,0.464
1,0.435
2,0.45
3,0.491
4,0.494
5,0.439
6,0.358
7,0.228
8,0.164
9,0.058
10,0.035
11,0.0
12,0.024
13,0.049
14,0.148
15,0.238
16,0.332
17,0.323
18,0.332
19,0.327
20,0.362
21,0.431
22,0.506
23,0.557
24,0.606
25,0.617
26,0.615
27,0.595
28,0.574
29,0.572
30,0.616
31,0.737
32,0.781
33,0.878
34,0.896
35,1.0
36,0.983
37,0.973
38,0.906
39,0.847
