,0
9,0.651
10,0.679
11,0.682
12,0.671
13,0.63
14,0.583
15,0.567
16,0.541
17,0.534
18,0.465
19,0.373
20,0.343
21,0.393
22,0.47
23,0.524
24,0.547
25,0.579
26,0.624
27,0.593
28,0.449
29,0.299
30,0.249
31,0.291
32,0.322
33,0.309
34,0.266
35,0.211
36,0.179
37,0.239
38,0.371
39,0.423
40,0.462
41,0.436
42,0.416
43,0.334
44,0.266
45,0.274
46,0.3
47,0.334
48,0.304
49,0.303
50,0.226
51,0.183
52,0.144
53,0.134
54,0.13
55,0.122
56,0.157
57,0.188
58,0.218
59,0.219
60,0.209
61,0.206
62,0.18
63,0.128
64,0.064
65,0.08
66,0.128
67,0.135
68,0.053
69,0.002
70,0.0
71,0.018
72,0.015
73,0.015
74,0.046
75,0.066
76,0.093
77,0.09
78,0.129
79,0.158
80,0.153
81,0.113
82,0.08
83,0.116
84,0.15
85,0.169
86,0.178
87,0.182
88,0.188
89,0.176
