,0
0,0.255
1,0.34
2,0.446
3,0.73
4,0.884
5,1.0
6,0.892
7,0.877
8,0.818
9,0.73
10,0.636
11,0.483
12,0.642
13,0.73
14,0.826
15,0.638
16,0.276
17,0.127
18,0.0
19,0.255
