indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
0,15,9 días (9),7,5,[1],60,60,0,100.0,0.0,11.83
1,15,17 días (17),12,5,[1],120,120,0,100.0,0.0,17.03
2,15,17 días (17),12,10,[1],60,60,1,100.0,1.7,8.91
3,15,1 meses y 4 días (34),22,5,[1],240,240,0,100.0,0.0,29.33
4,15,1 meses y 4 días (34),22,10,[1],120,120,2,100.0,1.7,12.67
5,15,1 meses y 4 días (34),22,10,"[1, 2]",122,122,2,100.0,1.6,13.5
6,15,1 meses y 4 días (34),22,20,[1],60,60,1,100.0,1.7,7.15
7,15,1 meses y 4 días (34),22,20,"[1, 2]",60,60,1,100.0,1.7,7.24
8,15,2 meses (60),42,5,[1],480,480,0,100.0,0.0,57.09
9,15,2 meses (60),42,10,[1],240,240,3,100.0,1.2,25.92
10,15,2 meses (60),42,10,"[1, 2]",253,253,4,100.0,1.6,27.57
11,15,2 meses (60),42,20,[1],120,120,3,100.0,2.5,13.72
12,15,2 meses (60),42,20,"[1, 2]",124,124,2,100.0,1.6,15.06
13,15,2 meses (60),42,40,[1],60,60,3,100.0,5.0,7.79
14,15,2 meses (60),42,40,"[1, 2]",60,60,3,100.0,5.0,7.68
15,15,5 meses y 8 días (158),109,5,[1],1252,1250,0,99.8,0.0,144.76
16,15,5 meses y 8 días (158),109,10,[1],600,600,0,100.0,0.0,64.67
17,15,5 meses y 8 días (158),109,10,"[1, 2]",688,688,0,100.0,0.0,76.49
18,15,5 meses y 8 días (158),109,20,[1],300,300,7,100.0,2.3,34.92
19,15,5 meses y 8 días (158),109,20,"[1, 2]",340,340,5,100.0,1.5,42.57
20,15,5 meses y 8 días (158),109,40,[1],120,120,8,100.0,6.7,15.24
21,15,5 meses y 8 días (158),109,40,"[1, 2]",147,147,8,100.0,5.4,18.68
22,15,5 meses y 8 días (158),109,40,"[1, 2, 3]",156,156,3,100.0,1.9,20.77
23,15,5 meses y 8 días (158),109,80,"[1, 2]",62,60,5,96.8,8.3,8.41
24,15,5 meses y 8 días (158),109,80,"[1, 2, 3]",62,60,8,96.8,13.3,8.77
25,15,5 meses y 8 días (158),109,90,"[1, 2]",60,57,8,95.0,14.0,7.61
26,15,5 meses y 8 días (158),109,90,"[1, 2, 3]",60,57,9,95.0,15.8,8.32
27,15,5 meses y 8 días (158),109,100,"[1, 2, 3]",60,57,6,95.0,10.5,8.69
28,15,7 meses y 11 días (221),152,10,[1],840,840,4,100.0,0.5,94.87
29,15,7 meses y 11 días (221),152,10,"[1, 2]",962,962,4,100.0,0.4,111.2
30,15,7 meses y 11 días (221),152,20,[1],420,420,9,100.0,2.1,51.72
31,15,7 meses y 11 días (221),152,20,"[1, 2]",471,471,10,100.0,2.1,58.89
32,15,7 meses y 11 días (221),152,40,[1],180,180,12,100.0,6.7,22.52
33,15,7 meses y 11 días (221),152,40,"[1, 2]",216,216,11,100.0,5.1,27.5
34,15,7 meses y 11 días (221),152,40,"[1, 2, 3]",237,237,7,100.0,3.0,31.98
35,15,7 meses y 11 días (221),152,80,"[1, 2]",86,80,6,93.0,7.5,11.7
36,15,7 meses y 11 días (221),152,80,"[1, 2, 3]",92,87,10,94.6,11.5,13.42
37,15,7 meses y 11 días (221),152,90,"[1, 2]",87,80,9,92.0,11.2,11.17
38,15,7 meses y 11 días (221),152,90,"[1, 2, 3]",83,75,10,90.4,13.3,11.48
39,15,7 meses y 11 días (221),152,100,"[1, 2, 3]",78,73,9,93.6,12.3,10.98
40,15,7 meses y 11 días (221),152,120,"[1, 2, 3]",65,55,6,84.6,10.9,9.59
41,15,7 meses y 11 días (221),152,140,"[1, 2, 3]",60,54,7,90.0,13.0,9.2
42,15,9 meses y 2 días (272),187,10,"[1, 2]",1192,1192,6,100.0,0.5,145.06
43,15,9 meses y 2 días (272),187,20,"[1, 2]",606,606,15,100.0,2.5,80.2
44,15,9 meses y 2 días (272),187,40,"[1, 2]",289,289,16,100.0,5.5,48.4
45,15,9 meses y 2 días (272),187,40,"[1, 2, 3]",309,309,12,100.0,3.9,56.67
46,15,9 meses y 2 días (272),187,80,"[1, 2]",132,125,13,94.7,10.4,19.35
47,15,9 meses y 2 días (272),187,80,"[1, 2, 3]",134,127,16,94.8,12.6,19.72
48,15,9 meses y 2 días (272),187,90,"[1, 2]",135,125,13,92.6,10.4,17.61
49,15,9 meses y 2 días (272),187,90,"[1, 2, 3]",136,125,15,91.9,12.0,19.61
50,15,9 meses y 2 días (272),187,100,"[1, 2, 3]",115,106,13,92.2,12.3,17.09
51,15,9 meses y 2 días (272),187,100,"[1, 2, 3, 4]",124,114,16,91.9,14.0,19.75
