indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
68,25,1 años (365),250,100,"[1, 2, 3, 4]",153,149,14,97.4,9.4,35.35
69,25,1 años (365),250,120,"[1, 2, 3]",133,127,16,95.5,12.6,27.01
70,25,1 años (365),250,120,"[1, 2, 3, 4]",129,126,13,97.7,10.3,30.51
71,25,1 años (365),250,140,"[1, 2, 3]",118,106,12,89.8,11.3,25.76
72,25,1 años (365),250,140,"[1, 2, 3, 4]",111,99,14,89.2,14.1,27.88
73,25,1 años (365),250,160,"[1, 2, 3]",92,78,7,84.8,9.0,21.8
74,25,1 años (365),250,160,"[1, 2, 3, 4]",99,85,13,85.9,15.3,25.55
75,25,1 años (365),250,180,"[1, 2, 3]",91,75,6,82.4,8.0,19.82
76,25,1 años (365),250,180,"[1, 2, 3, 4]",84,68,3,81.0,4.4,21.24
77,25,1 años (365),250,200,"[1, 2, 3]",68,54,8,79.4,14.8,18.24
78,25,1 años (365),250,200,"[1, 2, 3, 4]",68,54,6,79.4,11.1,19.59
79,25,1 años (365),250,220,"[1, 2, 3]",68,52,8,76.5,15.4,15.74
80,25,1 años (365),250,220,"[1, 2, 3, 4]",68,52,3,76.5,5.8,16.62
81,25,1 años (365),250,240,"[1, 2, 3]",60,52,5,86.7,9.6,15.71
82,25,1 años (365),250,240,"[1, 2, 3, 4]",60,52,5,86.7,9.6,18.03
83,25,1 años y 5 meses (515),354,20,"[1, 2]",1207,1207,18,100.0,1.5,194.99
84,25,1 años y 5 meses (515),354,40,"[1, 2]",596,594,19,99.7,3.2,101.37
85,25,1 años y 5 meses (515),354,40,"[1, 2, 3]",651,649,18,99.7,2.8,121.01
86,25,1 años y 5 meses (515),354,80,"[1, 2]",280,277,19,98.9,6.9,47.53
87,25,1 años y 5 meses (515),354,80,"[1, 2, 3]",323,316,27,97.8,8.5,62.66
88,25,1 años y 5 meses (515),354,90,"[1, 2]",255,246,11,96.5,4.5,44.2
89,25,1 años y 5 meses (515),354,90,"[1, 2, 3]",291,278,25,95.5,9.0,54.55
90,25,1 años y 5 meses (515),354,100,"[1, 2, 3]",246,236,22,95.9,9.3,47.45
91,25,1 años y 5 meses (515),354,100,"[1, 2, 3, 4]",266,255,19,95.9,7.5,60.06
92,25,1 años y 5 meses (515),354,120,"[1, 2, 3]",224,199,17,88.8,8.5,45.11
93,25,1 años y 5 meses (515),354,120,"[1, 2, 3, 4]",231,206,16,89.2,7.8,53.52
94,25,1 años y 5 meses (515),354,140,"[1, 2, 3]",192,163,9,84.9,5.5,39.79
95,25,1 años y 5 meses (515),354,140,"[1, 2, 3, 4]",200,173,17,86.5,9.8,47.98
96,25,1 años y 5 meses (515),354,160,"[1, 2, 3]",153,128,14,83.7,10.9,32.99
97,25,1 años y 5 meses (515),354,160,"[1, 2, 3, 4]",163,137,13,84.0,9.5,40.09
98,25,1 años y 5 meses (515),354,180,"[1, 2, 3]",140,106,8,75.7,7.5,29.87
99,25,1 años y 5 meses (515),354,180,"[1, 2, 3, 4]",145,107,8,73.8,7.5,34.67
100,25,1 años y 5 meses (515),354,200,"[1, 2, 3]",134,94,11,70.1,11.7,29.64
101,25,1 años y 5 meses (515),354,200,"[1, 2, 3, 4]",138,98,11,71.0,11.2,34.02
102,25,1 años y 5 meses (515),354,220,"[1, 2, 3]",117,72,6,61.5,8.3,24.37
103,25,1 años y 5 meses (515),354,220,"[1, 2, 3, 4]",126,80,8,63.5,10.0,29.57
104,25,1 años y 5 meses (515),354,240,"[1, 2, 3]",122,67,4,54.9,6.0,25.28
105,25,1 años y 5 meses (515),354,240,"[1, 2, 3, 4]",126,73,7,57.9,9.6,31.54
106,25,1 años y 5 meses (515),354,260,"[1, 2, 3]",110,64,7,58.2,10.9,24.59
107,25,1 años y 5 meses (515),354,260,"[1, 2, 3, 4]",121,74,10,61.2,13.5,28.82
108,25,1 años y 5 meses (515),354,280,"[1, 2, 3]",90,50,6,55.6,12.0,21.56
109,25,1 años y 5 meses (515),354,280,"[1, 2, 3, 4]",102,60,3,58.8,5.0,24.46
