indice,tipo_patron,numero_encontrados,distancia_promedio,distancia_promedio_findCommon,num_aceptados_findCommon_patron,tamaño_medio,porcentaje_aceptacion_tendency
0,double_top,0,0.0,6.94,10,0.0,0.0
0,double_bottom,0,0.0,4.96,10,0.0,0.0
0,head_and_shoulders,0,0.0,26.63,10,0.0,0.0
0,inv_head_and_shoulders,0,0.0,11.13,10,0.0,0.0
0,ascending_triangle,0,0.0,17.48,9,0.0,0.0
0,descending_triangle,0,0.0,13.64,10,0.0,0.0
1,double_top,0,0.0,7.39,20,0.0,0.0
1,double_bottom,0,0.0,4.97,20,0.0,0.0
1,head_and_shoulders,0,0.0,27.47,20,0.0,0.0
1,inv_head_and_shoulders,0,0.0,11.27,20,0.0,0.0
1,ascending_triangle,0,0.0,21.38,18,0.0,0.0
1,descending_triangle,0,0.0,12.8,20,0.0,0.0
2,double_top,0,0.0,5.79,10,0.0,0.0
2,double_bottom,0,0.0,4.55,10,0.0,0.0
2,head_and_shoulders,0,0.0,17.78,10,0.0,0.0
2,inv_head_and_shoulders,0,0.0,8.75,10,0.0,0.0
2,ascending_triangle,1,13.53,16.79,10,11.0,100.0
2,descending_triangle,0,0.0,10.9,10,0.0,0.0
3,double_top,0,0.0,6.78,40,0.0,0.0
3,double_bottom,0,0.0,4.79,40,0.0,0.0
3,head_and_shoulders,0,0.0,24.32,40,0.0,0.0
3,inv_head_and_shoulders,0,0.0,10.52,40,0.0,0.0
3,ascending_triangle,0,0.0,20.92,36,0.0,0.0
3,descending_triangle,0,0.0,12.43,40,0.0,0.0
4,double_top,0,0.0,5.92,20,0.0,0.0
4,double_bottom,0,0.0,4.48,20,0.0,0.0
4,head_and_shoulders,0,0.0,17.24,20,0.0,0.0
4,inv_head_and_shoulders,0,0.0,9.01,20,0.0,0.0
4,ascending_triangle,2,12.88,18.07,20,16.0,100.0
4,descending_triangle,0,0.0,10.12,20,0.0,0.0
5,double_top,0,0.0,5.96,20,0.0,0.0
5,double_bottom,0,0.0,4.48,21,0.0,0.0
5,head_and_shoulders,0,0.0,17.24,20,0.0,0.0
5,inv_head_and_shoulders,0,0.0,9.01,20,0.0,0.0
5,ascending_triangle,2,12.88,19.66,20,16.0,100.0
