indice,tipo_patron,numero_encontrados,distancia_promedio,distancia_promedio_findCommon,num_aceptados_findCommon_patron,tamaño_medio,porcentaje_aceptacion_tendency
0,double_top,0,0.0,6.79,10,0.0,0.0
0,double_bottom,0,0.0,4.54,10,0.0,0.0
0,head_and_shoulders,0,0.0,24.64,10,0.0,0.0
0,inv_head_and_shoulders,0,0.0,10.28,10,0.0,0.0
0,ascending_triangle,0,0.0,15.69,9,0.0,0.0
0,descending_triangle,0,0.0,13.94,10,0.0,0.0
1,double_top,0,0.0,7.36,20,0.0,0.0
1,double_bottom,0,0.0,4.52,20,0.0,0.0
1,head_and_shoulders,0,0.0,25.37,20,0.0,0.0
1,inv_head_and_shoulders,0,0.0,10.4,20,0.0,0.0
1,ascending_triangle,0,0.0,19.46,18,0.0,0.0
1,descending_triangle,0,0.0,13.05,20,0.0,0.0
2,double_top,0,0.0,5.62,10,0.0,0.0
2,double_bottom,0,0.0,4.04,10,0.0,0.0
2,head_and_shoulders,0,0.0,15.0,10,0.0,0.0
2,inv_head_and_shoulders,0,0.0,8.13,10,0.0,0.0
2,ascending_triangle,1,12.17,15.37,10,11.0,100.0
2,descending_triangle,0,0.0,10.73,10,0.0,0.0
3,double_top,0,0.0,6.72,40,0.0,0.0
3,double_bottom,0,0.0,4.31,40,0.0,0.0
3,head_and_shoulders,0,0.0,22.59,40,0.0,0.0
3,inv_head_and_shoulders,0,0.0,9.8,40,0.0,0.0
3,ascending_triangle,0,0.0,18.94,36,0.0,0.0
3,descending_triangle,0,0.0,12.65,40,0.0,0.0
4,double_top,0,0.0,5.75,20,0.0,0.0
4,double_bottom,0,0.0,4.01,20,0.0,0.0
4,head_and_shoulders,0,0.0,15.26,20,0.0,0.0
4,inv_head_and_shoulders,0,0.0,8.49,20,0.0,0.0
4,ascending_triangle,2,11.0,16.65,20,16.0,100.0
4,descending_triangle,0,0.0,10.05,20,0.0,0.0
5,double_top,0,0.0,5.82,20,0.0,0.0
5,double_bottom,0,0.0,4.01,21,0.0,0.0
5,head_and_shoulders,0,0.0,15.26,20,0.0,0.0
5,inv_head_and_shoulders,0,0.0,8.49,20,0.0,0.0
5,ascending_triangle,2,11.0,18.37,20,16.0,100.0
5,descending_triangle,0,0.0,10.05,22,0.0,0.0
6,double_top,0,0.0,6.62,10,0.0,0.0
6,double_bottom,0,0.0,4.28,10,0.0,0.0
6,head_and_shoulders,0,0.0,14.2,10,0.0,0.0
6,inv_head_and_shoulders,0,0.0,8.17,10,0.0,0.0
6,ascending_triangle,0,0.0,17.38,10,0.0,0.0
6,descending_triangle,1,5.94,7.83,10,22.0,100.0
7,double_top,0,0.0,6.62,10,0.0,0.0
7,double_bottom,0,0.0,4.28,10,0.0,0.0
7,head_and_shoulders,0,0.0,14.2,10,0.0,0.0
7,inv_head_and_shoulders,0,0.0,8.17,10,0.0,0.0
7,ascending_triangle,0,0.0,17.38,10,0.0,0.0
7,descending_triangle,1,5.94,7.83,10,22.0,100.0
8,double_top,0,0.0,6.54,80,0.0,0.0
8,double_bottom,0,0.0,4.44,80,0.0,0.0
8,head_and_shoulders,0,0.0,22.33,80,0.0,0.0
8,inv_head_and_shoulders,0,0.0,9.58,80,0.0,0.0
8,ascending_triangle,0,0.0,18.51,75,0.0,0.0
8,descending_triangle,0,0.0,13.36,80,0.0,0.0
9,double_top,0,0.0,5.48,40,0.0,0.0
9,double_bottom,0,0.0,4.29,40,0.0,0.0
9,head_and_shoulders,0,0.0,15.56,40,0.0,0.0
9,inv_head_and_shoulders,0,0.0,8.52,40,0.0,0.0
9,ascending_triangle,3,11.48,14.64,40,20.0,100.0
9,descending_triangle,0,0.0,11.22,40,0.0,0.0
10,double_top,0,0.0,5.65,42,0.0,0.0
10,double_bottom,0,0.0,4.3,43,0.0,0.0
10,head_and_shoulders,0,0.0,15.67,40,0.0,0.0
10,inv_head_and_shoulders,0,0.0,8.59,42,0.0,0.0
10,ascending_triangle,3,11.48,15.29,41,20.0,100.0
10,descending_triangle,0,0.0,11.26,45,0.0,0.0
11,double_top,0,0.0,5.76,20,0.0,0.0
11,double_bottom,0,0.0,5.0,20,0.0,0.0
11,head_and_shoulders,0,0.0,14.51,20,0.0,0.0
11,inv_head_and_shoulders,0,0.0,8.28,20,0.0,0.0
11,ascending_triangle,1,11.19,13.6,20,21.0,33.3
11,descending_triangle,2,5.66,10.76,20,30.5,66.7
12,double_top,0,0.0,5.86,20,0.0,0.0
12,double_bottom,0,0.0,5.05,21,0.0,0.0
12,head_and_shoulders,0,0.0,14.62,21,0.0,0.0
12,inv_head_and_shoulders,0,0.0,8.44,21,0.0,0.0
12,ascending_triangle,1,11.19,14.56,20,21.0,50.0
12,descending_triangle,1,5.94,10.67,21,40.0,50.0
13,double_top,0,0.0,6.63,10,0.0,0.0
13,double_bottom,2,5.83,6.38,10,42.0,66.7
13,head_and_shoulders,0,0.0,15.81,10,0.0,0.0
13,inv_head_and_shoulders,0,0.0,7.73,10,0.0,0.0
13,ascending_triangle,1,8.04,12.89,10,41.0,33.3
13,descending_triangle,0,0.0,13.24,10,0.0,0.0
14,double_top,0,0.0,6.63,10,0.0,0.0
14,double_bottom,0,0.0,6.38,10,0.0,0.0
14,head_and_shoulders,0,0.0,15.81,10,0.0,0.0
14,inv_head_and_shoulders,0,0.0,7.73,10,0.0,0.0
14,ascending_triangle,1,8.04,12.89,10,41.0,33.3
14,descending_triangle,2,8.82,13.24,10,30.5,66.7
15,double_top,0,0.0,6.49,210,0.0,0.0
15,double_bottom,0,0.0,4.3,210,0.0,0.0
15,head_and_shoulders,0,0.0,20.98,195,0.0,0.0
15,inv_head_and_shoulders,0,0.0,9.57,210,0.0,0.0
15,ascending_triangle,0,0.0,19.53,200,0.0,0.0
15,descending_triangle,0,0.0,12.98,210,0.0,0.0
16,double_top,0,0.0,6.34,100,0.0,0.0
16,double_bottom,0,0.0,4.35,100,0.0,0.0
16,head_and_shoulders,0,0.0,18.31,100,0.0,0.0
16,inv_head_and_shoulders,0,0.0,8.93,100,0.0,0.0
16,ascending_triangle,0,0.0,17.74,100,0.0,0.0
16,descending_triangle,0,0.0,11.58,100,0.0,0.0
17,double_top,0,0.0,6.39,114,0.0,0.0
17,double_bottom,0,0.0,4.45,121,0.0,0.0
17,head_and_shoulders,0,0.0,18.86,112,0.0,0.0
17,inv_head_and_shoulders,0,0.0,9.09,120,0.0,0.0
17,ascending_triangle,1,10.47,18.03,110,20.0,100.0
17,descending_triangle,0,0.0,12.74,118,0.0,0.0
18,double_top,1,4.33,6.47,50,18.0,14.3
18,double_bottom,3,3.98,4.94,50,28.67,42.9
18,head_and_shoulders,1,9.63,16.44,50,36.0,14.3
18,inv_head_and_shoulders,0,0.0,8.68,50,0.0,0.0
18,ascending_triangle,1,10.08,16.33,50,26.0,14.3
18,descending_triangle,1,7.36,11.31,50,40.0,14.3
19,double_top,1,4.33,7.4,57,18.0,25.0
19,double_bottom,1,3.27,4.98,58,22.0,25.0
19,head_and_shoulders,0,0.0,16.4,55,0.0,0.0
19,inv_head_and_shoulders,1,5.62,9.68,58,32.0,25.0
19,ascending_triangle,1,10.45,18.63,54,40.0,25.0
19,descending_triangle,0,0.0,12.2,60,0.0,0.0
20,double_top,5,6.7,7.28,20,44.8,62.5
20,double_bottom,1,5.48,6.43,20,48.0,12.5
20,head_and_shoulders,1,21.44,13.37,20,56.0,12.5
20,inv_head_and_shoulders,0,0.0,9.12,20,0.0,0.0
20,ascending_triangle,1,8.15,13.26,20,66.0,12.5
20,descending_triangle,0,0.0,13.29,20,0.0,0.0
21,double_top,1,8.24,8.18,30,18.0,16.7
21,double_bottom,3,9.3,6.53,25,28.67,50.0
21,head_and_shoulders,1,21.44,13.44,23,36.0,16.7
21,inv_head_and_shoulders,1,7.64,9.99,24,42.0,16.7
21,ascending_triangle,0,0.0,18.2,25,0.0,0.0
21,descending_triangle,0,0.0,13.08,23,0.0,0.0
22,double_top,1,6.28,8.43,31,19.0,33.3
22,double_bottom,0,0.0,6.62,26,0.0,0.0
22,head_and_shoulders,1,21.44,13.09,24,36.0,33.3
22,inv_head_and_shoulders,0,0.0,9.97,25,0.0,0.0
22,ascending_triangle,0,0.0,18.34,25,0.0,0.0
22,descending_triangle,1,8.11,12.82,23,26.0,33.3
23,double_top,3,9.31,9.75,10,45.0,75.0
23,double_bottom,1,10.82,10.07,10,48.0,25.0
23,head_and_shoulders,0,0.0,17.34,10,0.0,0.0
23,inv_head_and_shoulders,0,0.0,11.38,10,0.0,0.0
23,ascending_triangle,0,0.0,23.04,10,0.0,0.0
23,descending_triangle,0,0.0,13.73,10,0.0,0.0
24,double_top,3,9.8,9.75,10,38.0,50.0
24,double_bottom,2,10.92,10.07,10,42.0,33.3
24,head_and_shoulders,0,0.0,17.34,10,0.0,0.0
24,inv_head_and_shoulders,1,13.82,11.38,10,36.0,16.7
24,ascending_triangle,0,0.0,23.04,10,0.0,0.0
24,descending_triangle,0,0.0,13.73,10,0.0,0.0
25,double_top,3,11.94,12.38,10,50.33,37.5
25,double_bottom,2,13.94,11.26,10,48.0,25.0
25,head_and_shoulders,1,22.73,18.45,10,61.0,12.5
25,inv_head_and_shoulders,0,0.0,14.12,10,0.0,0.0
25,ascending_triangle,2,13.79,7.5,9,90.0,25.0
25,descending_triangle,0,0.0,13.08,10,0.0,0.0
26,double_top,1,15.74,12.38,10,46.0,12.5
26,double_bottom,3,13.65,11.26,10,32.0,37.5
26,head_and_shoulders,0,0.0,18.45,10,0.0,0.0
26,inv_head_and_shoulders,1,15.98,14.12,10,32.0,12.5
26,ascending_triangle,3,16.34,7.5,9,80.0,37.5
26,descending_triangle,0,0.0,13.08,10,0.0,0.0
27,double_top,2,14.2,13.29,10,44.5,33.3
27,double_bottom,0,0.0,11.63,10,0.0,0.0
27,head_and_shoulders,1,14.12,19.68,10,56.0,16.7
27,inv_head_and_shoulders,0,0.0,14.59,10,0.0,0.0
27,ascending_triangle,1,18.57,8.83,9,66.0,16.7
27,descending_triangle,2,15.7,13.34,10,40.0,33.3
28,double_top,0,0.0,6.13,140,0.0,0.0
28,double_bottom,0,0.0,4.49,140,0.0,0.0
28,head_and_shoulders,0,0.0,17.83,140,0.0,0.0
28,inv_head_and_shoulders,0,0.0,9.09,140,0.0,0.0
28,ascending_triangle,3,10.56,16.6,140,20.0,75.0
28,descending_triangle,1,8.37,11.88,140,20.0,25.0
29,double_top,0,0.0,6.16,162,0.0,0.0
29,double_bottom,0,0.0,4.57,165,0.0,0.0
29,head_and_shoulders,0,0.0,18.31,155,0.0,0.0
29,inv_head_and_shoulders,0,0.0,9.23,167,0.0,0.0
29,ascending_triangle,3,10.5,16.86,156,20.0,75.0
29,descending_triangle,1,8.37,12.9,162,20.0,25.0
30,double_top,2,4.29,6.12,70,23.5,22.2
30,double_bottom,3,3.98,5.28,70,28.67,33.3
30,head_and_shoulders,1,9.63,15.74,70,36.0,11.1
30,inv_head_and_shoulders,0,0.0,9.21,70,0.0,0.0
30,ascending_triangle,1,10.08,14.66,70,40.0,11.1
30,descending_triangle,2,6.74,12.63,70,40.0,22.2
31,double_top,2,4.41,6.82,77,23.0,25.0
31,double_bottom,2,3.42,5.33,82,29.0,25.0
31,head_and_shoulders,0,0.0,15.76,75,0.0,0.0
31,inv_head_and_shoulders,2,6.11,9.31,81,34.0,25.0
31,ascending_triangle,2,11.15,16.9,75,30.0,25.0
31,descending_triangle,0,0.0,13.42,83,0.0,0.0
32,double_top,5,6.7,6.86,30,44.8,41.7
32,double_bottom,2,5.39,6.4,30,35.0,16.7
32,head_and_shoulders,2,17.12,13.61,30,56.5,16.7
32,inv_head_and_shoulders,0,0.0,8.59,30,0.0,0.0
32,ascending_triangle,3,8.95,12.32,30,72.67,25.0
32,descending_triangle,0,0.0,14.35,30,0.0,0.0
33,double_top,2,7.04,7.72,41,23.5,22.2
33,double_bottom,3,9.3,7.03,37,28.67,33.3
33,head_and_shoulders,2,17.12,13.89,34,46.5,22.2
33,inv_head_and_shoulders,1,7.64,10.41,35,42.0,11.1
33,ascending_triangle,0,0.0,16.35,35,0.0,0.0
33,descending_triangle,1,21.47,15.08,36,40.0,11.1
34,double_top,1,6.28,8.16,45,19.0,14.3
34,double_bottom,1,6.6,6.85,39,29.0,14.3
34,head_and_shoulders,2,17.12,14.12,38,46.5,28.6
34,inv_head_and_shoulders,1,10.95,10.54,39,34.0,14.3
34,ascending_triangle,1,10.1,17.8,36,26.0,14.3
34,descending_triangle,1,8.11,14.84,39,26.0,14.3
35,double_top,3,9.31,9.86,15,45.0,60.0
35,double_bottom,1,10.82,10.07,13,48.0,20.0
35,head_and_shoulders,1,18.97,17.36,15,57.0,20.0
35,inv_head_and_shoulders,0,0.0,11.38,10,0.0,0.0
35,ascending_triangle,0,0.0,22.79,13,0.0,0.0
35,descending_triangle,0,0.0,16.58,15,0.0,0.0
36,double_top,3,9.8,10.38,13,38.0,37.5
36,double_bottom,3,11.98,10.44,16,42.0,37.5
36,head_and_shoulders,0,0.0,18.37,15,0.0,0.0
36,inv_head_and_shoulders,2,15.7,11.37,14,39.0,25.0
36,ascending_triangle,0,0.0,22.08,13,0.0,0.0
36,descending_triangle,0,0.0,16.49,19,0.0,0.0
37,double_top,4,11.38,11.11,15,50.75,44.4
37,double_bottom,2,13.94,11.66,13,48.0,22.2
37,head_and_shoulders,1,22.73,18.38,14,61.0,11.1
37,inv_head_and_shoulders,0,0.0,14.56,12,0.0,0.0
37,ascending_triangle,2,13.79,18.51,14,90.0,22.2
37,descending_triangle,0,0.0,17.82,15,0.0,0.0
38,double_top,1,15.74,11.86,16,46.0,10.0
38,double_bottom,3,13.65,11.26,10,32.0,30.0
38,head_and_shoulders,1,19.98,17.87,15,47.0,10.0
38,inv_head_and_shoulders,1,15.98,14.17,11,32.0,10.0
38,ascending_triangle,4,17.87,18.86,14,75.0,40.0
38,descending_triangle,0,0.0,17.19,13,0.0,0.0
39,double_top,4,12.58,12.33,16,39.75,44.4
39,double_bottom,0,0.0,11.65,12,0.0,0.0
39,head_and_shoulders,2,17.24,18.97,13,55.0,22.2
39,inv_head_and_shoulders,0,0.0,14.49,12,0.0,0.0
39,ascending_triangle,1,18.57,20.41,12,66.0,11.1
39,descending_triangle,2,15.7,16.35,12,66.0,22.2
40,double_top,1,11.28,14.1,10,54.0,20.0
40,double_bottom,1,16.93,13.63,10,22.0,20.0
40,head_and_shoulders,0,0.0,22.78,10,0.0,0.0
40,inv_head_and_shoulders,0,0.0,14.57,10,0.0,0.0
40,ascending_triangle,2,25.71,29.41,10,74.5,40.0
40,descending_triangle,1,11.13,16.62,10,120.0,20.0
41,double_top,1,14.03,14.61,10,72.0,16.7
41,double_bottom,2,15.96,16.96,10,47.0,33.3
41,head_and_shoulders,2,26.95,26.89,10,58.0,33.3
41,inv_head_and_shoulders,1,20.38,14.72,10,80.0,16.7
