tamano_ventana_y_division,tamano_ventana,divisiones,tipo_patron,numero_encontrados,distancia_promedio,distancia_promedio_findCommon,num_aceptados_findCommon_patron,tamano_medio,porcentaje_aceptacion_tendency
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",double_top,269,12.52,12.72,222.75,26.56,24.39
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",double_bottom,217,17.69,17.39,220.08,22.39,22.54
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",head_and_shoulders,122,23.41,22.4,219.58,39.63,11.62
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",inv_head_and_shoulders,144,15.17,16.39,221.67,25.56,11.63
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",ascending_triangle,171,17.88,19.37,196.75,26.38,12.61
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",descending_triangle,219,27.95,24.99,172.25,26.28,17.22
"140_[1, 2, 3]",140,"[1, 2, 3]",double_top,324,14.2,14.09,170.42,49.87,27.59
"140_[1, 2, 3]",140,"[1, 2, 3]",double_bottom,350,20.79,19.52,173.58,47.78,32.98
"140_[1, 2, 3]",140,"[1, 2, 3]",head_and_shoulders,111,21.78,23.98,168.42,51.69,9.78
"140_[1, 2, 3]",140,"[1, 2, 3]",inv_head_and_shoulders,157,18.21,17.97,171.92,53.89,14.22
"140_[1, 2, 3]",140,"[1, 2, 3]",ascending_triangle,131,18.39,20.66,150.08,46.32,10.71
"140_[1, 2, 3]",140,"[1, 2, 3]",descending_triangle,53,19.98,26.58,122.25,39.64,4.74
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",double_top,335,14.61,14.03,177.75,40.43,24.39
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",double_bottom,350,19.53,19.7,178.67,36.42,30.16
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",head_and_shoulders,108,24.03,23.5,176.0,46.79,9.08
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",inv_head_and_shoulders,200,17.93,17.74,177.75,39.2,15.94
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",ascending_triangle,146,21.38,20.55,157.33,40.44,11.87
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",descending_triangle,111,27.26,27.4,125.0,38.13,8.57
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",double_top,297,14.06,13.94,181.92,33.27,27.68
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",double_bottom,290,19.48,19.56,185.0,30.33,24.12
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",head_and_shoulders,122,24.86,23.16,187.58,40.58,12.02
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",inv_head_and_shoulders,166,18.7,17.79,185.0,36.07,13.76
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",ascending_triangle,127,17.69,20.39,163.25,31.42,9.19
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",descending_triangle,156,29.5,26.52,130.25,31.54,13.24
"140_[1, 2, 3, 4, 5, 6]",140,"[1, 2, 3, 4, 5, 6]",double_top,314,14.02,13.86,191.17,29.29,29.19
"140_[1, 2, 3, 4, 5, 6]",140,"[1, 2, 3, 4, 5, 6]",double_bottom,214,20.01,19.92,190.42,25.63,18.58
"140_[1, 2, 3, 4, 5, 6]",140,"[1, 2, 3, 4, 5, 6]",head_and_shoulders,128,23.81,23.63,191.83,41.99,12.08
"140_[1, 2, 3, 4, 5, 6]",140,"[1, 2, 3, 4, 5, 6]",inv_head_and_shoulders,147,18.78,17.74,192.58,32.12,11.77
"140_[1, 2, 3, 4, 5, 6]",140,"[1, 2, 3, 4, 5, 6]",ascending_triangle,156,17.24,20.4,165.58,31.73,11.44
"140_[1, 2, 3, 4, 5, 6]",140,"[1, 2, 3, 4, 5, 6]",descending_triangle,205,29.52,26.78,138.08,29.29,16.88
"160_[1, 2, 3]",160,"[1, 2, 3]",double_top,328,16.28,15.45,148.58,55.22,33.03
"160_[1, 2, 3]",160,"[1, 2, 3]",double_bottom,312,22.34,22.14,147.67,53.54,33.57
"160_[1, 2, 3]",160,"[1, 2, 3]",head_and_shoulders,96,22.88,25.41,144.0,53.62,9.22
"160_[1, 2, 3]",160,"[1, 2, 3]",inv_head_and_shoulders,118,18.62,19.55,149.17,52.51,11.38
"160_[1, 2, 3]",160,"[1, 2, 3]",ascending_triangle,96,17.43,21.65,129.67,53.38,9.33
"160_[1, 2, 3]",160,"[1, 2, 3]",descending_triangle,34,18.52,28.52,94.83,44.62,3.42
"160_[1, 2, 3, 4]",160,"[1, 2, 3, 4]",double_top,332,15.65,15.39,154.08,43.53,28.73
"160_[1, 2, 3, 4]",160,"[1, 2, 3, 4]",double_bottom,291,20.67,21.7,153.0,40.98,25.29
"160_[1, 2, 3, 4]",160,"[1, 2, 3, 4]",head_and_shoulders,112,24.09,25.38,153.67,47.22,12.38
"160_[1, 2, 3, 4]",160,"[1, 2, 3, 4]",inv_head_and_shoulders,201,19.89,19.27,158.33,46.22,17.12
"160_[1, 2, 3, 4]",160,"[1, 2, 3, 4]",ascending_triangle,110,21.32,21.6,137.25,44.57,10.9
"160_[1, 2, 3, 4]",160,"[1, 2, 3, 4]",descending_triangle,77,22.0,28.02,99.08,37.23,5.56
"160_[1, 2, 3, 4, 5]",160,"[1, 2, 3, 4, 5]",double_top,300,15.9,15.16,156.92,36.95,27.07
"160_[1, 2, 3, 4, 5]",160,"[1, 2, 3, 4, 5]",double_bottom,297,20.83,21.85,158.58,34.84,25.53
"160_[1, 2, 3, 4, 5]",160,"[1, 2, 3, 4, 5]",head_and_shoulders,127,24.56,25.69,158.92,45.08,12.28
"160_[1, 2, 3, 4, 5]",160,"[1, 2, 3, 4, 5]",inv_head_and_shoulders,204,17.77,19.23,166.67,36.5,17.01
"160_[1, 2, 3, 4, 5]",160,"[1, 2, 3, 4, 5]",ascending_triangle,133,19.37,20.99,145.92,38.69,10.91
"160_[1, 2, 3, 4, 5]",160,"[1, 2, 3, 4, 5]",descending_triangle,90,26.89,28.44,101.08,32.43,7.21
"160_[1, 2, 3, 4, 5, 6]",160,"[1, 2, 3, 4, 5, 6]",double_top,313,16.26,15.2,166.33,31.69,30.13
"160_[1, 2, 3, 4, 5, 6]",160,"[1, 2, 3, 4, 5, 6]",double_bottom,250,19.11,22.12,164.42,25.99,21.62
"160_[1, 2, 3, 4, 5, 6]",160,"[1, 2, 3, 4, 5, 6]",head_and_shoulders,144,24.09,25.7,166.08,42.21,13.11
"160_[1, 2, 3, 4, 5, 6]",160,"[1, 2, 3, 4, 5, 6]",inv_head_and_shoulders,160,20.29,19.21,171.58,34.42,14.73
"160_[1, 2, 3, 4, 5, 6]",160,"[1, 2, 3, 4, 5, 6]",ascending_triangle,124,17.02,21.59,146.5,31.39,9.56
"160_[1, 2, 3, 4, 5, 6]",160,"[1, 2, 3, 4, 5, 6]",descending_triangle,121,28.23,28.2,106.0,31.94,10.85
"180_[1, 2, 3]",180,"[1, 2, 3]",double_top,297,17.78,17.01,130.33,62.63,35.78
"180_[1, 2, 3]",180,"[1, 2, 3]",double_bottom,282,24.08,24.34,129.42,60.44,30.83
"180_[1, 2, 3]",180,"[1, 2, 3]",head_and_shoulders,78,23.66,26.93,128.58,60.89,8.38
"180_[1, 2, 3]",180,"[1, 2, 3]",inv_head_and_shoulders,125,20.76,20.66,128.0,64.93,13.99
"180_[1, 2, 3]",180,"[1, 2, 3]",ascending_triangle,85,18.93,22.84,112.0,60.49,8.63
"180_[1, 2, 3]",180,"[1, 2, 3]",descending_triangle,28,15.89,28.08,75.83,42.5,2.38
"180_[1, 2, 3, 4]",180,"[1, 2, 3, 4]",double_top,273,16.97,16.83,134.17,49.95,30.0
"180_[1, 2, 3, 4]",180,"[1, 2, 3, 4]",double_bottom,310,22.49,24.36,138.33,43.74,29.9
"180_[1, 2, 3, 4]",180,"[1, 2, 3, 4]",head_and_shoulders,96,24.45,26.89,137.33,48.66,10.05
"180_[1, 2, 3, 4]",180,"[1, 2, 3, 4]",inv_head_and_shoulders,153,21.04,20.71,139.58,51.63,17.33
"180_[1, 2, 3, 4]",180,"[1, 2, 3, 4]",ascending_triangle,87,22.01,23.21,117.25,46.94,7.84
"180_[1, 2, 3, 4]",180,"[1, 2, 3, 4]",descending_triangle,66,18.13,28.82,80.67,37.59,4.88
"180_[1, 2, 3, 4, 5]",180,"[1, 2, 3, 4, 5]",double_top,281,17.14,16.74,143.17,41.94,31.83
"180_[1, 2, 3, 4, 5]",180,"[1, 2, 3, 4, 5]",double_bottom,242,20.77,23.97,139.67,34.8,22.82
"180_[1, 2, 3, 4, 5]",180,"[1, 2, 3, 4, 5]",head_and_shoulders,110,27.56,27.06,143.58,48.89,11.49
"180_[1, 2, 3, 4, 5]",180,"[1, 2, 3, 4, 5]",inv_head_and_shoulders,156,21.3,20.6,140.17,42.86,15.68
"180_[1, 2, 3, 4, 5]",180,"[1, 2, 3, 4, 5]",ascending_triangle,113,23.05,22.08,126.58,38.87,11.2
"180_[1, 2, 3, 4, 5]",180,"[1, 2, 3, 4, 5]",descending_triangle,79,18.9,28.19,81.17,31.47,6.95
"180_[1, 2, 3, 4, 5, 6]",180,"[1, 2, 3, 4, 5, 6]",double_top,239,17.78,16.44,141.75,34.55,25.56
"180_[1, 2, 3, 4, 5, 6]",180,"[1, 2, 3, 4, 5, 6]",double_bottom,254,20.6,23.97,147.17,29.38,25.78
"180_[1, 2, 3, 4, 5, 6]",180,"[1, 2, 3, 4, 5, 6]",head_and_shoulders,121,27.9,27.25,146.5,44.9,12.71
"180_[1, 2, 3, 4, 5, 6]",180,"[1, 2, 3, 4, 5, 6]",inv_head_and_shoulders,189,20.19,20.87,148.42,31.78,17.57
"180_[1, 2, 3, 4, 5, 6]",180,"[1, 2, 3, 4, 5, 6]",ascending_triangle,102,24.65,22.37,127.75,36.37,10.35
"180_[1, 2, 3, 4, 5, 6]",180,"[1, 2, 3, 4, 5, 6]",descending_triangle,107,23.36,27.99,84.75,30.06,8.04
"200_[1, 2, 3]",200,"[1, 2, 3]",double_top,288,18.98,18.24,117.58,68.24,33.7
"200_[1, 2, 3]",200,"[1, 2, 3]",double_bottom,263,26.33,26.48,117.58,66.3,34.1
"200_[1, 2, 3]",200,"[1, 2, 3]",head_and_shoulders,56,22.7,28.42,114.92,64.78,6.26
"200_[1, 2, 3]",200,"[1, 2, 3]",inv_head_and_shoulders,110,22.09,22.59,114.83,71.31,13.9
"200_[1, 2, 3]",200,"[1, 2, 3]",ascending_triangle,56,22.43,23.33,98.67,72.33,8.49
"200_[1, 2, 3]",200,"[1, 2, 3]",descending_triangle,18,18.04,26.63,62.58,44.57,3.52
"200_[1, 2, 3, 4]",200,"[1, 2, 3, 4]",double_top,262,18.4,18.13,123.75,53.83,29.0
"200_[1, 2, 3, 4]",200,"[1, 2, 3, 4]",double_bottom,283,26.37,26.21,121.67,52.22,31.82
"200_[1, 2, 3, 4]",200,"[1, 2, 3, 4]",head_and_shoulders,77,23.33,28.4,122.83,50.21,8.48
"200_[1, 2, 3, 4]",200,"[1, 2, 3, 4]",inv_head_and_shoulders,148,22.6,22.42,123.58,56.29,17.3
"200_[1, 2, 3, 4]",200,"[1, 2, 3, 4]",ascending_triangle,87,20.47,24.05,103.42,50.69,8.21
"200_[1, 2, 3, 4]",200,"[1, 2, 3, 4]",descending_triangle,36,20.92,26.72,64.67,44.83,5.17
"200_[1, 2, 3, 4, 5]",200,"[1, 2, 3, 4, 5]",double_top,269,18.41,18.01,131.0,44.76,28.63
"200_[1, 2, 3, 4, 5]",200,"[1, 2, 3, 4, 5]",double_bottom,258,24.92,25.3,121.33,41.92,25.82
"200_[1, 2, 3, 4, 5]",200,"[1, 2, 3, 4, 5]",head_and_shoulders,88,26.4,28.39,131.0,45.62,12.16
"200_[1, 2, 3, 4, 5]",200,"[1, 2, 3, 4, 5]",inv_head_and_shoulders,161,23.36,22.54,126.92,44.98,17.93
"200_[1, 2, 3, 4, 5]",200,"[1, 2, 3, 4, 5]",ascending_triangle,73,23.11,24.03,106.75,41.1,7.77
"200_[1, 2, 3, 4, 5]",200,"[1, 2, 3, 4, 5]",descending_triangle,78,22.13,26.22,69.33,41.29,7.69
"200_[1, 2, 3, 4, 5, 6]",200,"[1, 2, 3, 4, 5, 6]",double_top,235,18.61,18.16,131.67,38.19,25.1
"200_[1, 2, 3, 4, 5, 6]",200,"[1, 2, 3, 4, 5, 6]",double_bottom,243,24.95,26.03,130.42,35.25,25.52
"200_[1, 2, 3, 4, 5, 6]",200,"[1, 2, 3, 4, 5, 6]",head_and_shoulders,122,26.83,27.8,131.42,40.93,13.42
"200_[1, 2, 3, 4, 5, 6]",200,"[1, 2, 3, 4, 5, 6]",inv_head_and_shoulders,170,20.71,22.5,133.42,35.57,16.44
"200_[1, 2, 3, 4, 5, 6]",200,"[1, 2, 3, 4, 5, 6]",ascending_triangle,103,19.32,23.5,112.17,31.94,10.14
"200_[1, 2, 3, 4, 5, 6]",200,"[1, 2, 3, 4, 5, 6]",descending_triangle,94,22.54,25.58,69.83,34.69,9.39
"220_[1, 2, 3]",220,"[1, 2, 3]",double_top,246,19.77,19.54,104.92,77.89,35.14
"220_[1, 2, 3]",220,"[1, 2, 3]",double_bottom,245,30.08,28.29,106.5,73.89,31.52
"220_[1, 2, 3]",220,"[1, 2, 3]",head_and_shoulders,52,24.57,30.27,100.92,74.89,7.02
"220_[1, 2, 3]",220,"[1, 2, 3]",inv_head_and_shoulders,108,23.66,23.72,103.67,78.92,16.38
"220_[1, 2, 3]",220,"[1, 2, 3]",ascending_triangle,57,17.72,24.67,87.0,59.22,6.15
"220_[1, 2, 3]",220,"[1, 2, 3]",descending_triangle,16,18.28,28.01,49.5,57.83,3.76
"220_[1, 2, 3, 4]",220,"[1, 2, 3, 4]",double_top,265,20.58,19.5,112.25,58.27,33.83
"220_[1, 2, 3, 4]",220,"[1, 2, 3, 4]",double_bottom,251,27.87,28.62,112.0,56.68,31.08
"220_[1, 2, 3, 4]",220,"[1, 2, 3, 4]",head_and_shoulders,65,22.79,30.09,109.83,48.36,8.04
"220_[1, 2, 3, 4]",220,"[1, 2, 3, 4]",inv_head_and_shoulders,126,24.36,23.71,112.42,60.97,16.71
"220_[1, 2, 3, 4]",220,"[1, 2, 3, 4]",ascending_triangle,67,15.67,24.76,93.08,40.86,5.82
"220_[1, 2, 3, 4]",220,"[1, 2, 3, 4]",descending_triangle,35,19.45,27.74,52.33,52.69,4.51
"220_[1, 2, 3, 4, 5]",220,"[1, 2, 3, 4, 5]",double_top,237,20.38,19.28,114.17,49.07,29.93
"220_[1, 2, 3, 4, 5]",220,"[1, 2, 3, 4, 5]",double_bottom,245,25.28,28.34,115.58,41.86,29.82
"220_[1, 2, 3, 4, 5]",220,"[1, 2, 3, 4, 5]",head_and_shoulders,78,22.45,30.0,114.25,41.16,10.21
"220_[1, 2, 3, 4, 5]",220,"[1, 2, 3, 4, 5]",inv_head_and_shoulders,150,24.14,23.9,119.17,52.58,18.78
"220_[1, 2, 3, 4, 5]",220,"[1, 2, 3, 4, 5]",ascending_triangle,91,18.95,24.89,98.25,37.39,7.7
"220_[1, 2, 3, 4, 5]",220,"[1, 2, 3, 4, 5]",descending_triangle,39,17.98,26.69,54.92,37.42,3.53
"220_[1, 2, 3, 4, 5, 6]",220,"[1, 2, 3, 4, 5, 6]",double_top,227,19.5,19.5,117.67,41.19,32.46
"220_[1, 2, 3, 4, 5, 6]",220,"[1, 2, 3, 4, 5, 6]",double_bottom,215,23.88,27.97,117.67,34.56,23.75
"220_[1, 2, 3, 4, 5, 6]",220,"[1, 2, 3, 4, 5, 6]",head_and_shoulders,107,29.75,29.7,122.33,44.95,12.52
"220_[1, 2, 3, 4, 5, 6]",220,"[1, 2, 3, 4, 5, 6]",inv_head_and_shoulders,170,21.64,23.64,122.08,37.69,18.06
"220_[1, 2, 3, 4, 5, 6]",220,"[1, 2, 3, 4, 5, 6]",ascending_triangle,82,19.6,24.35,100.0,35.26,8.81
"220_[1, 2, 3, 4, 5, 6]",220,"[1, 2, 3, 4, 5, 6]",descending_triangle,49,19.22,27.35,56.42,31.19,4.39
"240_[1, 2, 3]",240,"[1, 2, 3]",double_top,233,21.46,20.6,94.92,84.99,38.9
"240_[1, 2, 3]",240,"[1, 2, 3]",double_bottom,253,28.4,30.26,98.17,80.33,34.54
"240_[1, 2, 3]",240,"[1, 2, 3]",head_and_shoulders,42,26.1,31.44,92.67,80.76,6.62
"240_[1, 2, 3]",240,"[1, 2, 3]",inv_head_and_shoulders,94,22.74,24.89,95.0,79.28,15.46
"240_[1, 2, 3]",240,"[1, 2, 3]",ascending_triangle,38,17.01,25.77,76.42,61.74,4.15
"240_[1, 2, 3]",240,"[1, 2, 3]",descending_triangle,3,5.81,27.04,41.58,20.0,0.36
"240_[1, 2, 3, 4]",240,"[1, 2, 3, 4]",double_top,279,21.35,20.42,100.0,62.56,37.14
"240_[1, 2, 3, 4]",240,"[1, 2, 3, 4]",double_bottom,222,25.57,30.03,99.75,57.13,26.68
"240_[1, 2, 3, 4]",240,"[1, 2, 3, 4]",head_and_shoulders,68,27.11,31.55,97.08,62.49,8.82
"240_[1, 2, 3, 4]",240,"[1, 2, 3, 4]",inv_head_and_shoulders,127,25.07,24.8,102.75,63.84,16.71
"240_[1, 2, 3, 4]",240,"[1, 2, 3, 4]",ascending_triangle,50,19.56,25.51,81.5,53.51,6.05
"240_[1, 2, 3, 4]",240,"[1, 2, 3, 4]",descending_triangle,32,23.11,27.12,43.58,52.01,4.63
"240_[1, 2, 3, 4, 5]",240,"[1, 2, 3, 4, 5]",double_top,222,20.34,20.55,103.0,52.85,28.87
"240_[1, 2, 3, 4, 5]",240,"[1, 2, 3, 4, 5]",double_bottom,209,29.93,30.18,104.33,49.39,26.87
"240_[1, 2, 3, 4, 5]",240,"[1, 2, 3, 4, 5]",head_and_shoulders,94,25.2,31.46,104.33,52.0,11.68
"240_[1, 2, 3, 4, 5]",240,"[1, 2, 3, 4, 5]",inv_head_and_shoulders,156,23.06,24.66,107.42,50.58,20.82
"240_[1, 2, 3, 4, 5]",240,"[1, 2, 3, 4, 5]",ascending_triangle,36,18.59,24.69,85.83,39.72,5.72
"240_[1, 2, 3, 4, 5]",240,"[1, 2, 3, 4, 5]",descending_triangle,42,22.16,27.32,47.17,44.13,6.07
"240_[1, 2, 3, 4, 5, 6]",240,"[1, 2, 3, 4, 5, 6]",double_top,262,21.34,20.42,109.25,44.07,33.94
"240_[1, 2, 3, 4, 5, 6]",240,"[1, 2, 3, 4, 5, 6]",double_bottom,242,29.26,29.77,105.25,41.72,27.62
"240_[1, 2, 3, 4, 5, 6]",240,"[1, 2, 3, 4, 5, 6]",head_and_shoulders,100,31.12,31.43,104.5,44.71,12.89
"240_[1, 2, 3, 4, 5, 6]",240,"[1, 2, 3, 4, 5, 6]",inv_head_and_shoulders,151,19.6,24.57,111.25,33.72,15.18
"240_[1, 2, 3, 4, 5, 6]",240,"[1, 2, 3, 4, 5, 6]",ascending_triangle,45,16.41,24.59,86.83,33.13,4.82
"240_[1, 2, 3, 4, 5, 6]",240,"[1, 2, 3, 4, 5, 6]",descending_triangle,66,17.04,26.86,49.42,32.47,5.53
"260_[1, 2, 3]",260,"[1, 2, 3]",double_top,210,23.45,21.92,94.0,87.88,35.86
"260_[1, 2, 3]",260,"[1, 2, 3]",double_bottom,205,31.02,31.57,95.45,86.23,36.85
"260_[1, 2, 3]",260,"[1, 2, 3]",head_and_shoulders,37,25.41,33.01,88.91,77.32,5.62
"260_[1, 2, 3]",260,"[1, 2, 3]",inv_head_and_shoulders,70,24.86,25.81,94.18,91.09,13.12
"260_[1, 2, 3]",260,"[1, 2, 3]",ascending_triangle,36,27.38,26.5,73.45,89.33,7.41
"260_[1, 2, 3]",260,"[1, 2, 3]",descending_triangle,8,13.07,31.45,40.09,39.09,1.12
"260_[1, 2, 3, 4]",260,"[1, 2, 3, 4]",double_top,196,22.89,21.72,99.0,69.97,31.52
"260_[1, 2, 3, 4]",260,"[1, 2, 3, 4]",double_bottom,234,29.79,31.65,98.27,66.07,32.57
"260_[1, 2, 3, 4]",260,"[1, 2, 3, 4]",head_and_shoulders,57,26.2,32.19,96.82,73.36,7.55
"260_[1, 2, 3, 4]",260,"[1, 2, 3, 4]",inv_head_and_shoulders,122,26.4,25.79,99.64,71.85,21.17
"260_[1, 2, 3, 4]",260,"[1, 2, 3, 4]",ascending_triangle,39,15.12,26.31,80.18,51.1,4.4
"260_[1, 2, 3, 4]",260,"[1, 2, 3, 4]",descending_triangle,19,25.48,31.45,41.82,55.95,2.78
"260_[1, 2, 3, 4, 5]",260,"[1, 2, 3, 4, 5]",double_top,197,22.42,22.03,101.36,57.53,28.4
"260_[1, 2, 3, 4, 5]",260,"[1, 2, 3, 4, 5]",double_bottom,191,30.73,31.38,99.73,53.53,34.46
"260_[1, 2, 3, 4, 5]",260,"[1, 2, 3, 4, 5]",head_and_shoulders,72,26.37,32.03,99.09,55.22,10.16
"260_[1, 2, 3, 4, 5]",260,"[1, 2, 3, 4, 5]",inv_head_and_shoulders,113,26.7,25.9,105.45,57.13,19.23
"260_[1, 2, 3, 4, 5]",260,"[1, 2, 3, 4, 5]",ascending_triangle,40,17.78,26.02,84.36,41.54,4.63
"260_[1, 2, 3, 4, 5]",260,"[1, 2, 3, 4, 5]",descending_triangle,25,21.1,31.24,45.64,43.8,3.09
"260_[1, 2, 3, 4, 5, 6]",260,"[1, 2, 3, 4, 5, 6]",double_top,214,22.65,21.64,106.09,47.56,27.05
"260_[1, 2, 3, 4, 5, 6]",260,"[1, 2, 3, 4, 5, 6]",double_bottom,240,29.93,31.21,105.82,44.37,32.68
"260_[1, 2, 3, 4, 5, 6]",260,"[1, 2, 3, 4, 5, 6]",head_and_shoulders,88,31.06,32.46,102.0,50.09,11.55
