indice,tipo_patron,numero_encontrados,distancia_promedio,distancia_promedio_findCommon,num_aceptados_findCommon_patron,tamaño_medio,porcentaje_aceptacion_tendency
0,double_top,0,0.0,7.07,10,0.0,0.0
0,double_bottom,0,0.0,4.14,10,0.0,0.0
0,head_and_shoulders,0,0.0,25.86,10,0.0,0.0
0,inv_head_and_shoulders,0,0.0,11.83,10,0.0,0.0
0,ascending_triangle,0,0.0,19.74,9,0.0,0.0
0,descending_triangle,0,0.0,16.41,10,0.0,0.0
1,double_top,0,0.0,7.45,20,0.0,0.0
1,double_bottom,0,0.0,4.15,20,0.0,0.0
1,head_and_shoulders,0,0.0,26.01,20,0.0,0.0
1,inv_head_and_shoulders,0,0.0,11.87,20,0.0,0.0
1,ascending_triangle,0,0.0,23.84,18,0.0,0.0
1,descending_triangle,0,0.0,15.42,20,0.0,0.0
2,double_top,0,0.0,5.72,10,0.0,0.0
2,double_bottom,0,0.0,4.07,10,0.0,0.0
2,head_and_shoulders,0,0.0,16.87,10,0.0,0.0
2,inv_head_and_shoulders,0,0.0,8.82,10,0.0,0.0
2,ascending_triangle,1,15.82,18.31,10,11.0,100.0
2,descending_triangle,0,0.0,13.28,10,0.0,0.0
3,double_top,0,0.0,6.91,40,0.0,0.0
3,double_bottom,0,0.0,4.0,40,0.0,0.0
3,head_and_shoulders,0,0.0,22.91,40,0.0,0.0
3,inv_head_and_shoulders,0,0.0,10.99,40,0.0,0.0
3,ascending_triangle,0,0.0,23.19,36,0.0,0.0
3,descending_triangle,0,0.0,15.08,40,0.0,0.0
4,double_top,0,0.0,5.94,20,0.0,0.0
4,double_bottom,0,0.0,3.92,20,0.0,0.0
4,head_and_shoulders,0,0.0,16.39,20,0.0,0.0
4,inv_head_and_shoulders,0,0.0,9.16,20,0.0,0.0
4,ascending_triangle,2,14.91,19.61,20,16.0,100.0
4,descending_triangle,0,0.0,12.18,20,0.0,0.0
5,double_top,0,0.0,5.94,20,0.0,0.0
5,double_bottom,0,0.0,3.92,22,0.0,0.0
5,head_and_shoulders,0,0.0,16.39,20,0.0,0.0
5,inv_head_and_shoulders,0,0.0,9.16,20,0.0,0.0
5,ascending_triangle,2,14.91,21.42,20,16.0,100.0
5,descending_triangle,0,0.0,12.16,22,0.0,0.0
6,double_top,0,0.0,6.48,10,0.0,0.0
6,double_bottom,0,0.0,4.23,10,0.0,0.0
6,head_and_shoulders,0,0.0,14.68,10,0.0,0.0
6,inv_head_and_shoulders,0,0.0,8.38,10,0.0,0.0
6,ascending_triangle,0,0.0,19.31,10,0.0,0.0
6,descending_triangle,1,6.7,8.86,10,22.0,100.0
7,double_top,0,0.0,6.48,10,0.0,0.0
7,double_bottom,0,0.0,4.23,10,0.0,0.0
7,head_and_shoulders,0,0.0,14.68,10,0.0,0.0
7,inv_head_and_shoulders,0,0.0,8.38,10,0.0,0.0
7,ascending_triangle,1,14.27,19.31,10,12.0,50.0
7,descending_triangle,1,6.7,8.86,10,22.0,50.0
8,double_top,0,0.0,6.71,80,0.0,0.0
8,double_bottom,0,0.0,4.17,80,0.0,0.0
8,head_and_shoulders,0,0.0,23.13,80,0.0,0.0
8,inv_head_and_shoulders,0,0.0,10.72,80,0.0,0.0
8,ascending_triangle,0,0.0,22.77,74,0.0,0.0
8,descending_triangle,0,0.0,16.05,80,0.0,0.0
9,double_top,0,0.0,5.76,40,0.0,0.0
9,double_bottom,0,0.0,4.29,40,0.0,0.0
9,head_and_shoulders,0,0.0,16.62,40,0.0,0.0
9,inv_head_and_shoulders,0,0.0,9.35,40,0.0,0.0
9,ascending_triangle,3,15.38,17.91,40,20.0,100.0
9,descending_triangle,0,0.0,13.39,40,0.0,0.0
10,double_top,0,0.0,5.83,42,0.0,0.0
10,double_bottom,0,0.0,4.3,44,0.0,0.0
10,head_and_shoulders,0,0.0,16.72,41,0.0,0.0
10,inv_head_and_shoulders,0,0.0,9.42,41,0.0,0.0
10,ascending_triangle,3,15.38,18.74,41,20.0,75.0
10,descending_triangle,1,8.04,13.43,44,16.0,25.0
11,double_top,0,0.0,6.05,20,0.0,0.0
11,double_bottom,0,0.0,5.2,20,0.0,0.0
11,head_and_shoulders,0,0.0,15.34,20,0.0,0.0
11,inv_head_and_shoulders,0,0.0,8.81,20,0.0,0.0
11,ascending_triangle,1,15.21,16.05,20,21.0,33.3
11,descending_triangle,2,6.68,12.17,20,30.5,66.7
12,double_top,0,0.0,6.11,21,0.0,0.0
12,double_bottom,0,0.0,5.23,22,0.0,0.0
12,head_and_shoulders,0,0.0,15.02,20,0.0,0.0
12,inv_head_and_shoulders,0,0.0,8.98,21,0.0,0.0
12,ascending_triangle,2,14.74,16.37,20,20.5,66.7
12,descending_triangle,1,6.7,12.22,21,40.0,33.3
13,double_top,0,0.0,7.47,10,0.0,0.0
13,double_bottom,2,6.0,6.96,10,42.0,66.7
13,head_and_shoulders,0,0.0,16.47,10,0.0,0.0
