indice,tipo_patron,numero_encontrados,distancia_promedio,distancia_promedio_findCommon,num_aceptados_findCommon_patron,tamaño_medio,porcentaje_aceptacion_tendency
15,double_bottom,0,0.0,4.76,210,0.0,0.0
15,head_and_shoulders,0,0.0,23.37,200,0.0,0.0
15,inv_head_and_shoulders,0,0.0,10.46,210,0.0,0.0
15,ascending_triangle,0,0.0,17.54,210,0.0,0.0
15,descending_triangle,0,0.0,16.33,210,0.0,0.0
16,double_top,0,0.0,6.99,100,0.0,0.0
16,double_bottom,0,0.0,4.75,100,0.0,0.0
16,head_and_shoulders,0,0.0,20.27,100,0.0,0.0
16,inv_head_and_shoulders,0,0.0,9.68,100,0.0,0.0
16,ascending_triangle,0,0.0,15.83,100,0.0,0.0
16,descending_triangle,0,0.0,14.18,100,0.0,0.0
17,double_top,0,0.0,6.94,116,0.0,0.0
17,double_bottom,0,0.0,4.8,123,0.0,0.0
17,head_and_shoulders,0,0.0,20.47,108,0.0,0.0
17,inv_head_and_shoulders,0,0.0,9.75,117,0.0,0.0
17,ascending_triangle,0,0.0,15.73,107,0.0,0.0
17,descending_triangle,0,0.0,15.57,117,0.0,0.0
18,double_top,1,4.98,7.13,50,18.0,14.3
18,double_bottom,3,4.15,5.26,50,28.67,42.9
18,head_and_shoulders,1,12.18,18.0,50,36.0,14.3
18,inv_head_and_shoulders,0,0.0,9.18,50,0.0,0.0
18,ascending_triangle,1,9.07,14.44,50,26.0,14.3
18,descending_triangle,1,8.11,13.76,50,40.0,14.3
19,double_top,1,4.98,7.44,56,18.0,20.0
19,double_bottom,1,3.53,5.54,61,22.0,20.0
19,head_and_shoulders,0,0.0,18.23,56,0.0,0.0
19,inv_head_and_shoulders,1,5.94,10.39,57,32.0,20.0
19,ascending_triangle,1,9.47,17.56,51,40.0,20.0
19,descending_triangle,1,8.11,14.64,59,40.0,20.0
20,double_top,5,7.86,7.97,20,44.8,62.5
20,double_bottom,1,5.7,6.74,20,48.0,12.5
20,head_and_shoulders,1,24.86,15.07,20,56.0,12.5
20,inv_head_and_shoulders,0,0.0,9.55,20,0.0,0.0
20,ascending_triangle,1,7.4,12.2,20,66.0,12.5
20,descending_triangle,0,0.0,16.35,20,0.0,0.0
21,double_top,1,11.8,8.5,27,18.0,12.5
21,double_bottom,3,9.74,6.74,25,28.67,37.5
21,head_and_shoulders,1,24.86,15.32,23,36.0,12.5
21,inv_head_and_shoulders,1,7.61,10.38,24,42.0,12.5
21,ascending_triangle,1,9.6,16.56,25,26.0,12.5
21,descending_triangle,1,8.31,16.12,23,40.0,12.5
22,double_top,0,0.0,8.49,32,0.0,0.0
22,double_bottom,0,0.0,6.96,26,0.0,0.0
22,head_and_shoulders,1,24.86,15.8,24,36.0,33.3
22,inv_head_and_shoulders,0,0.0,10.41,25,0.0,0.0
22,ascending_triangle,1,9.6,16.74,26,26.0,33.3
22,descending_triangle,1,8.31,15.92,23,40.0,33.3
23,double_top,3,10.7,9.73,10,46.67,60.0
23,double_bottom,1,10.24,9.98,10,48.0,20.0
23,head_and_shoulders,0,0.0,19.16,10,0.0,0.0
23,inv_head_and_shoulders,0,0.0,11.95,10,0.0,0.0
23,ascending_triangle,1,8.61,21.85,10,66.0,20.0
23,descending_triangle,0,0.0,15.8,10,0.0,0.0
24,double_top,3,11.18,9.73,10,38.0,37.5
24,double_bottom,2,11.11,9.98,10,42.0,25.0
24,head_and_shoulders,0,0.0,19.16,10,0.0,0.0
24,inv_head_and_shoulders,1,14.54,11.95,10,36.0,12.5
24,ascending_triangle,1,8.61,21.85,10,66.0,12.5
24,descending_triangle,1,8.22,15.8,10,52.0,12.5
25,double_top,3,12.72,11.94,10,50.33,37.5
25,double_bottom,2,13.88,11.48,10,48.0,25.0
25,head_and_shoulders,1,23.01,19.51,10,61.0,12.5
25,inv_head_and_shoulders,0,0.0,14.69,10,0.0,0.0
25,ascending_triangle,2,14.09,27.07,10,90.0,25.0
25,descending_triangle,0,0.0,13.3,7,0.0,0.0
26,double_top,2,12.65,11.94,10,59.0,22.2
26,double_bottom,2,15.68,11.48,10,35.0,22.2
26,head_and_shoulders,1,23.01,19.51,10,61.0,11.1
26,inv_head_and_shoulders,1,16.79,14.69,10,32.0,11.1
26,ascending_triangle,3,16.47,27.07,10,80.0,33.3
26,descending_triangle,0,0.0,13.3,7,0.0,0.0
27,double_top,2,13.73,12.95,10,44.5,33.3
27,double_bottom,0,0.0,11.87,10,0.0,0.0
27,head_and_shoulders,0,0.0,20.1,10,0.0,0.0
27,inv_head_and_shoulders,0,0.0,15.27,10,0.0,0.0
27,ascending_triangle,2,14.25,8.92,9,66.0,33.3
27,descending_triangle,2,18.8,14.93,8,40.0,33.3
28,double_top,0,0.0,6.89,140,0.0,0.0
28,double_bottom,0,0.0,4.89,140,0.0,0.0
28,head_and_shoulders,0,0.0,19.82,140,0.0,0.0
28,inv_head_and_shoulders,0,0.0,9.84,140,0.0,0.0
28,ascending_triangle,3,9.48,14.84,140,20.0,75.0
28,descending_triangle,1,9.76,14.65,140,20.0,25.0
29,double_top,0,0.0,6.84,163,0.0,0.0
29,double_bottom,0,0.0,4.94,169,0.0,0.0
29,head_and_shoulders,0,0.0,20.09,153,0.0,0.0
29,inv_head_and_shoulders,0,0.0,9.9,165,0.0,0.0
29,ascending_triangle,3,9.63,14.77,152,20.0,75.0
29,descending_triangle,1,9.76,15.87,160,20.0,25.0
30,double_top,2,5.09,6.97,70,23.5,22.2
30,double_bottom,3,4.15,5.6,70,28.67,33.3
30,head_and_shoulders,1,12.18,17.56,70,36.0,11.1
30,inv_head_and_shoulders,0,0.0,9.8,70,0.0,0.0
30,ascending_triangle,1,9.07,13.05,70,40.0,11.1
30,descending_triangle,2,7.95,15.49,70,40.0,22.2
31,double_top,3,5.34,7.16,78,25.0,30.0
31,double_bottom,2,3.75,5.83,85,29.0,20.0
31,head_and_shoulders,0,0.0,17.75,76,0.0,0.0
31,inv_head_and_shoulders,2,6.33,9.93,78,34.0,20.0
31,ascending_triangle,2,8.82,15.31,72,40.0,20.0
31,descending_triangle,1,8.11,16.43,82,40.0,10.0
32,double_top,5,7.86,7.74,30,44.8,41.7
32,double_bottom,2,5.73,6.7,30,35.0,16.7
32,head_and_shoulders,2,21.07,15.47,30,56.5,16.7
32,inv_head_and_shoulders,0,0.0,9.02,30,0.0,0.0
32,ascending_triangle,3,7.96,11.08,30,72.67,25.0
32,descending_triangle,0,0.0,17.73,30,0.0,0.0
33,double_top,2,10.43,8.58,38,23.5,18.2
33,double_bottom,3,9.74,7.34,37,28.67,27.3
33,head_and_shoulders,2,21.07,15.96,34,46.5,18.2
33,inv_head_and_shoulders,1,7.61,10.88,35,42.0,9.1
33,ascending_triangle,1,9.6,14.82,36,40.0,9.1
33,descending_triangle,2,18.71,18.37,36,40.0,18.2
34,double_top,1,9.19,8.75,45,31.0,14.3
34,double_bottom,1,6.98,7.26,39,29.0,14.3
