indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
0,20,9 días (9),7,5,[1],60,59,0,98.3,0.0,9.64
1,20,17 días (17),12,5,[1],119,118,0,99.2,0.0,17.85
2,20,17 días (17),12,10,[1],60,60,1,100.0,1.7,6.99
3,20,1 meses y 4 días (34),22,5,[1],237,236,0,99.6,0.0,30.24
4,20,1 meses y 4 días (34),22,10,[1],120,120,2,100.0,1.7,13.95
5,20,1 meses y 4 días (34),22,10,"[1, 2]",124,124,2,100.0,1.6,16.95
6,20,1 meses y 4 días (34),22,20,[1],60,60,1,100.0,1.7,8.6
7,20,1 meses y 4 días (34),22,20,"[1, 2]",60,60,2,100.0,3.3,8.05
8,20,2 meses (60),42,5,[1],476,474,0,99.6,0.0,64.22
9,20,2 meses (60),42,10,[1],240,240,3,100.0,1.2,30.05
10,20,2 meses (60),42,10,"[1, 2]",253,253,4,100.0,1.6,31.42
11,20,2 meses (60),42,20,[1],120,120,3,100.0,2.5,15.44
12,20,2 meses (60),42,20,"[1, 2]",125,125,3,100.0,2.4,18.05
13,20,2 meses (60),42,40,[1],60,60,3,100.0,5.0,8.65
14,20,2 meses (60),42,40,"[1, 2]",60,60,3,100.0,5.0,9.45
15,20,5 meses y 8 días (158),109,5,[1],1248,1245,0,99.8,0.0,174.25
16,20,5 meses y 8 días (158),109,10,[1],600,600,0,100.0,0.0,76.21
17,20,5 meses y 8 días (158),109,10,"[1, 2]",692,692,0,100.0,0.0,94.66
18,20,5 meses y 8 días (158),109,20,[1],300,300,7,100.0,2.3,38.15
19,20,5 meses y 8 días (158),109,20,"[1, 2]",340,340,4,100.0,1.2,48.48
20,20,5 meses y 8 días (158),109,40,[1],120,120,8,100.0,6.7,17.45
21,20,5 meses y 8 días (158),109,40,"[1, 2]",144,144,6,100.0,4.2,20.61
22,20,5 meses y 8 días (158),109,40,"[1, 2, 3]",153,153,2,100.0,1.3,24.14
23,20,5 meses y 8 días (158),109,80,"[1, 2]",62,60,5,96.8,8.3,9.89
24,20,5 meses y 8 días (158),109,80,"[1, 2, 3]",62,60,6,96.8,10.0,11.16
