indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
1269,25,8 años y 2 días (2922),2012,260,"[1, 2, 3, 4]",1081,556,65,51.4,11.7,266.57
1270,25,8 años y 2 días (2922),2012,260,"[1, 2, 3, 4, 5]",1107,580,72,52.4,12.4,285.79
1271,25,8 años y 2 días (2922),2012,260,"[1, 2, 3, 4, 5, 6]",1105,606,87,54.8,14.4,311.76
1272,25,8 años y 2 días (2922),2012,280,"[1, 2, 3, 4]",1041,503,58,48.3,11.5,246.37
1273,25,8 años y 2 días (2922),2012,280,"[1, 2, 3, 4, 5]",1050,514,69,49.0,13.4,269.58
1274,25,8 años y 2 días (2922),2012,280,"[1, 2, 3, 4, 5, 6]",1133,546,68,48.2,12.5,312.54
1275,25,8 años y 2 días (2922),2012,300,"[1, 2, 3, 4]",1050,457,50,43.5,10.9,249.11
1276,25,8 años y 2 días (2922),2012,300,"[1, 2, 3, 4, 5]",1077,464,51,43.1,11.0,276.99
1277,25,8 años y 2 días (2922),2012,300,"[1, 2, 3, 4, 5, 6]",1088,485,63,44.6,13.0,304.48
1278,25,8 años y 2 días (2922),2012,340,"[1, 2, 3, 4]",1088,389,47,35.8,12.1,257.7
1279,25,8 años y 2 días (2922),2012,340,"[1, 2, 3, 4, 5]",1109,397,41,35.8,10.3,282.9
1280,25,8 años y 2 días (2922),2012,340,"[1, 2, 3, 4, 5, 6]",1126,415,56,36.9,13.5,309.36
1281,25,8 años y 2 días (2922),2012,380,"[1, 2, 3, 4]",1250,327,38,26.2,11.6,287.97
1282,25,8 años y 2 días (2922),2012,380,"[1, 2, 3, 4, 5]",1240,339,35,27.3,10.3,306.19
1283,25,8 años y 2 días (2922),2012,380,"[1, 2, 3, 4, 5, 6]",1289,344,46,26.7,13.4,335.03
1284,25,8 años y 2 días (2922),2012,400,"[1, 2, 3, 4]",1312,297,38,22.6,12.8,304.06
1285,25,8 años y 2 días (2922),2012,400,"[1, 2, 3, 4, 5]",1371,299,33,21.8,11.0,331.66
1286,25,8 años y 2 días (2922),2012,400,"[1, 2, 3, 4, 5, 6]",1387,317,44,22.9,13.9,371.89
1287,25,8 años y 2 días (2922),2012,450,"[1, 2, 3, 4]",1552,226,25,14.6,11.1,333.26
1288,25,8 años y 2 días (2922),2012,450,"[1, 2, 3, 4, 5]",1566,238,27,15.2,11.3,348.73
1289,25,8 años y 2 días (2922),2012,450,"[1, 2, 3, 4, 5, 6]",1557,248,27,15.9,10.9,370.5
1290,25,8 años y 2 días (2922),2012,500,"[1, 2, 3, 4]",1737,177,18,10.2,10.2,374.01
1291,25,8 años y 2 días (2922),2012,500,"[1, 2, 3, 4, 5]",1778,177,20,10.0,11.3,395.0
1292,25,8 años y 2 días (2922),2012,500,"[1, 2, 3, 4, 5, 6]",1811,182,18,10.0,9.9,418.65
1293,25,10 años y 2 días (3652),2516,200,"[1, 2, 3, 4]",1416,966,116,68.2,12.0,358.23
1294,25,10 años y 2 días (3652),2516,200,"[1, 2, 3, 4, 5]",1460,994,110,68.1,11.1,404.74
1295,25,10 años y 2 días (3652),2516,200,"[1, 2, 3, 4, 5, 6]",1485,1026,127,69.1,12.4,450.95
1296,25,10 años y 2 días (3652),2516,220,"[1, 2, 3, 4]",1418,858,96,60.5,11.2,345.99
1297,25,10 años y 2 días (3652),2516,220,"[1, 2, 3, 4, 5]",1455,898,126,61.7,14.0,391.71
1298,25,10 años y 2 días (3652),2516,220,"[1, 2, 3, 4, 5, 6]",1491,924,125,62.0,13.5,440.83
1299,25,10 años y 2 días (3652),2516,240,"[1, 2, 3, 4]",1399,774,89,55.3,11.5,347.64
1300,25,10 años y 2 días (3652),2516,240,"[1, 2, 3, 4, 5]",1412,808,85,57.2,10.5,388.03
1301,25,10 años y 2 días (3652),2516,240,"[1, 2, 3, 4, 5, 6]",1412,801,101,56.7,12.6,431.16
1302,25,10 años y 2 días (3652),2516,260,"[1, 2, 3, 4]",1392,707,90,50.8,12.7,346.52
1303,25,10 años y 2 días (3652),2516,260,"[1, 2, 3, 4, 5]",1397,738,101,52.8,13.7,383.0
1304,25,10 años y 2 días (3652),2516,260,"[1, 2, 3, 4, 5, 6]",1353,739,101,54.6,13.7,411.92
1305,25,10 años y 2 días (3652),2516,280,"[1, 2, 3, 4]",1320,636,77,48.2,12.1,337.84
1306,25,10 años y 2 días (3652),2516,280,"[1, 2, 3, 4, 5]",1355,653,86,48.2,13.2,378.32
1307,25,10 años y 2 días (3652),2516,280,"[1, 2, 3, 4, 5, 6]",1408,701,90,49.8,12.8,431.71
1308,25,10 años y 2 días (3652),2516,300,"[1, 2, 3, 4]",1392,584,77,42.0,13.2,364.97
