,0
0,0.572
1,0.601
2,0.759
3,0.754
4,0.758
5,1.0
6,0.794
7,0.677
8,0.721
9,0.634
10,0.988
11,0.742
12,0.569
13,0.77
14,0.0
15,0.077
16,0.465
