,0
0,0.359
1,0.462
2,0.458
3,0.356
4,0.218
5,0.237
6,0.0
7,0.141
8,0.311
9,0.74
10,0.522
11,0.587
12,0.744
13,0.875
14,1.0
15,0.849
16,0.718
17,0.744
18,0.785
19,0.574
20,0.619
21,0.712
22,0.744
23,0.689
24,0.478
25,0.327
26,0.215
27,0.311
28,0.317
29,0.446
30,0.731
31,0.574
32,0.699
