,0
0,0.371
1,0.512
2,0.612
3,0.537
4,0.436
5,0.35
6,0.423
7,0.39
8,0.42
9,0.301
10,0.248
11,0.095
12,0.054
13,0.0
14,0.098
15,0.166
16,0.29
17,0.287
18,0.304
19,0.319
20,0.406
21,0.52
22,0.548
23,0.612
24,0.739
25,1.0
