,0
0,1.0
1,0.426
2,0.632
3,0.607
4,0.904
5,0.639
6,0.574
7,0.388
8,0.542
9,0.617
10,0.448
11,0.256
12,0.295
13,0.385
14,0.669
15,0.667
16,0.709
17,0.577
18,0.677
19,0.776
20,0.69
21,0.592
22,0.418
23,0.372
24,0.285
25,0.24
26,0.258
27,0.218
28,0.233
29,0.342
30,0.436
31,0.554
32,0.516
33,0.589
34,0.564
35,0.373
36,0.086
37,0.0
38,0.293
39,0.414
