,0
0,0.066
1,0.0
2,0.564
3,0.777
4,0.698
5,0.816
6,0.846
7,1.0
8,0.964
9,0.778
10,0.487
11,0.424
12,0.461
13,0.608
14,0.605
15,0.718
16,0.659
17,0.645
18,0.714
19,0.575
20,0.58
21,0.569
22,0.431
23,0.589
24,0.466
25,0.42
26,0.676
27,0.539
28,0.673
29,0.59
30,0.66
31,0.794
32,0.83
33,0.833
34,0.913
35,0.793
36,0.713
37,0.823
38,0.927
39,0.937
40,0.802
41,0.831
42,0.988
43,0.877
44,0.96
45,0.963
46,0.984
47,0.871
48,0.87
